Title,Content,predicted_virality
"Covid-19: Government guidelines on ACs, coolers and fans","Accoding to the guidelines compiled by the Indian Society of Heating Refrigerating and Air Conditioner Engineers (ISHRAE), a temperature between 24-30 degree centigrade should be maintained while operating ACs at home. While, a relative humidity level of 40 per cent to 70 per cent is considered to be the most suitable as it decreases problems from pathogens.",49408007733.248
Centre gives clearance for neighbourhood shops to open,"The home ministry on Friday permitted all shops in residential and market complexes outside municipal limits and all neighbourhood, standalone shops as well as shops in residential complexes within municipal limits of non-containment zones to open during the lockdown. However this concession has not been extended to single and multi-brand malls.",25709607124.992
"'Islamophobia' row: PM Modi, Jaishankar dial Gulf leaders","India has mounted a diplomatic offensive in the Gulf Arab states to tamp down a potential communal problem fuelled by social media outrage and fake Twitter handles. In the past 24 hours, foreign minister S Jaishankar spoke personally to his counterparts across the Arab world to reassure them.",891706802.176
"MHA order on shops: What's open, what's closed","In rural areas, all shops, except those in shopping malls are allowed to open. In urban areas, all standalone shops, neighbourhood shops and shops in residential complexes are allowed to open. The sale by e-commerce companies will continue to be permitted for essential goods only. The sale of liquor and other items continues to be prohibited.",169793814528.0
A month of lockdown: Covid growth falls from 22% to 8%,"When PM Modi announced a total lockdown of the country exactly a month ago, there were around 500 Covid-19 cases in India. But there were clear signs that the numbers were going to shoot up. The average daily growth in cases was 21.6% on March 24, which since dropped to 8.1%. Had we continued to grow at that rate, the number of cases would have crossed 2 lakh by now.",14300704571129.855
India records biggest single-day spike in coronavirus cases,"In the biggest spike in coronavirus infection on a single day, India on Friday recorded 1,752 fresh cases taking the total cases to 23,452. However, doubling rate of the disease improved to 10 days from 7.5 reported earlier this week. The death toll rose to 723 with 37 fatalities reported since Thursday evening. About 20.52% of the infected have recovered so far.",61272905220.096
China sent team including medical experts to advise on North Korea's Kim: Sources,"China has dispatched a team to North Korea including medical experts to advise on North Korean leader Kim Jong Un, according to three people familiar with the situation. The trip by the Chinese doctors and officials comes amid conflicting reports about the health of the North Korean leader.",728456495.104
"Covid-19: Doubling rate of coronavirus slows down further, now it's 10 days","Timely imposition of a lockdown after a ban on international air traffic helped India limit Covid-19 cases, which otherwise could have ballooned to over one lakh by now, the government said on Friday, highlighting that the situation was under control with close to 25,000 positive cases and the doubling rate now touching 10 days over the last three days.",132140750602.24
Manav Rachna announces online MRNAT for admission to its UG courses,"When PM Modi announced a lockdown a month ago, there were around 500 Covid-19 cases in India. The average daily growth in cases was 21.6% on March 24, which has since dropped to 8.1%. Had India continued to grow at 21.6%, the number of cases would have crossed 2 lakh by now. If India continues at current rate, we will have close to 40,000 cases by the end of next week.",6291497339060.224
Coronavirus roundup: Developments in India and rest of world,"The average doubling rate of Covid-19 cases in the country is 9.1 days as of now and from Friday 8 am to Saturday 8 am, India recorded a 6% growth in new cases, which is the lowest daily growth rate recorded since the country crossed 100 cases, the government said. This was revealed after a high-level Group of Ministers meet was held on Covid-19 on Saturday.",2670896548413.44
"Covid-19: Without lockdown, India's cases would have been nearly 9X","The academic session in universities and higher educational institutions can be started from September instead of July in view of the COVID-19 situation in the country, a panel appointed by the University Grants Commission (UGC) has recommended.",2486846.208
India records lowest daily growth rate in Covid-19 cases on Saturday since it crossed 100 cases,"Asserting that China's Communist government needs to be held accountable for ""lying"" about the coronavirus pandemic, top Indian-American Republican politician Nikki Haley has launched an online petition urging the US Congress to act. More than 40,000 people have signed the 'Stop Communist China' petition by Friday night, hours after being launched by the former governor of South Carolina who has set a goal of getting 100,000 signatures.",30173824586612.734
"UGC panel recommends academic session in varsities from September, online exams wherever possible","The home ministry constituted four more inter-ministerial central teams to assess the “serious” Covid-19 situation in emerging hotspots of Ahmedabad and Surat in Gujarat, Hyderabad in Telangana and Chennai in Tamil Nadu. Also, the IMCT for Mumbai will make an on-the-spot assessment for Thane in Maharashtra.",1675282874.368
Covid-19: Nikki Haley launches 'Stop Communist China' campaign,"The BSY government on Friday gave the green signal for industries to restart in nine districts unaffected by Covid-19 and, hours later, allowed the movement of labourers within the state. The additional relaxations in the extended lockdown came as life inched to normal in non-hotspots across Karnataka.",1480695218.176
"Covid-19: Centre to assess Ahmedabad, Hyderabad, Surat, Chennai","Amazon India, a brand that has always supported and valued the community it is working with, has come up with a simple and effortless way to donate.",11003.712
Karnataka allows industries in 9 virus-free districts to restart,"Panic buying gripped Chennai, Coimbatore, Madurai, Salem and Tirupur corporation areas on Saturday as total lockdown will be in force in these places from Sunday. Markets and provision stores saw hordes of people, throwing physical distancing to a complete toss.  The government earlier announced 4-day complete lockdown in the state which would come into effect from Sunday.",237997895188.48
TV celebs wish fans on Ramadan; pray for protection and healing,"A woman ex-intelligence officer of RAW compulsorily retired after attempting suicide at PMO in 2008, was awarded Rs one lakh compensation by the SC on Friday finding that RAW delayed and improperly handled her sexual harassment complaint against then RAW chief and his deputy. The bench cited ""procedural ignorance and casual attitude of her seniors in the department.""",300098726658.048
Day 32 of coronavirus lockdown: Ground report from Indian cities," With businesses facing disruption in the wake of the Covid-19 lockdown, the Insurance Regulatory and Development Authority of India (Irdai) has advised insurers to manage financial resources prudently to ensure that they have adequate capital and take a “conscious call” on paying dividend for FY2019-20.",274834669.568
Every Payment Counts in helping India fight COVID-19: Here’s how you can help,"With 16 more Covid-19 positive patients being discharged from various hospitals across the state, Haryana now has seven coronavirus free districts. Now, in Haryana, 10 out of 22 districts have become Covid-19 free.",44051.844
Normal monsoon likely; Bay of Bengal area set to get below-normal rains: WMO-led forum,There are times when your love can take the course of negative emotions and ruin your beautiful relationship. Here's how.,241.688
"Lockdown in Tamil Nadu: Panic buying grips Chennai, four other cities","The US death toll from the novel coronavirus reached 50,000 on Friday, having doubled in 10 days, according to a Reuters tally. More than 875,000 Americans have contracted Covid-19 and on average about 2,000 have died every day this month. Total cases is thought to be higher as shortages of trained workers and materials have limited testing capacity.",27810750005.248
SC awards ex-RAW employee 11 lakh for mishandled sexual harassment plaint, A London-based NRI was stabbed to death allegedly by his father after a bitter argument over Rs 1.80 lakh that the latter had lent him in Surat on Friday.,32636.176
Refrain from paying FY20 dividend: Irdai urges insurers,"Former Australia speedster Brett Lee believes Virat Kohli can surpass the extraordinary feat of ""god"" Sachin Tendulkar. ""But, how can you say someone can go past Sachin Tendulkar -- this is God here, can someone go better than God, we will wait and see,"" the 43-year-old said.",793795100.672
If you need money then you should stop activities at border: Kapil Dev,Former India skipper Kapil Dev was pulled up by former Pakistan skipper Shahid Afridi after he turned down Shoaib Akhtar's proposal for a India-Pakistan series to raise funds to fight the coronavirus outbreak.,555152.96
